Section and Subsection Names,annotator_1,annotator_2,Section/Subsection,
Abdominal,Abdomen,Abdomen and Pelvis,Subsection,
Abdomen,Abdomen,Abdomen and Pelvis,Subsection,
ABDOMEN,Abdomen,Abdomen and Pelvis,Subsection,
Abdomen and Pelvis,Abdomen,Abdomen and Pelvis,Subsection,
Active Medication,Active Medication,Medications Section,Section,
Active Medication List,Active Medication,Medications Section,Section,
Additional Medications,Active Medication,Medications Section,Section,
Additional Documentation,Additional Info,Additional Info,Section,
Additional HPI,Additional Info,Additional Info,Section,
Additional Complaints,Additional Info,Additional Info,Section,
Additional Information,Additional Info,Additional Info,Section,
Additional Reports,Additional Info,Additional Info,Section,
Alcohol,Alcohol Use,Alcohol Use,Subsection,
Alcohol Use,Alcohol Use,Alcohol Use,Subsection,
Alcohol use,Alcohol Use,Alcohol Use,Subsection,
All Reviewers List,All Reviewer List,All Reviewer List,Subsection,
All Reviews List,All Reviewer List,All Reviewer List,Subsection,
Allergies,Allergies,Allergies and Intolerances Section,Section,
Allergies List,Allergies,Allergies and Intolerances Section,Section,
Allergy,Allergies,Allergies and Intolerances Section,Section,
ALLERGIES,Allergies,Allergies and Intolerances Section,Section,
Allergies Plug-in,Allergies,Allergies and Intolerances Section,Section,
Allergy List,Allergies,Allergies and Intolerances Section,Section,
Coded Allergies,Allergies,Allergies and Intolerances Section,Section,
Reason for Appointment,Appointment Date,Reason for Visit Section,Section,
Date of Service,Appointment Date,Appointment Date,Section,
Appointment Date,Appointment Date,Appointment Date,Section,
Appointments for this Order,Appointment Date,Appointment Date,Section,
Appointments for thius Order,Appointment Date,Appointment Date,Section,
Appropriate Use Criteria Details,Appointment Date,Appropriate Use Criteria Details,Section,
Next Scheduled Date,Appointment Date,Next Scheduled Date,Section,
Social History,Assessment & Plan,Social History Section,Section,
Past Medical History,Assessment & Plan,Past Medical History,Section,
Surgical History,Assessment & Plan,Surgical History,Subsection,
Review of Systems,Assessment & Plan,Review of Systems Section,Section,
Chief Complaint,Assessment & Plan,Chief Complaint Section,Section,
Vital Signs,Assessment & Plan,Vital Signs Section,Section,
Plan,Assessment & Plan,Plan of Treatment Section,Section,
Assessment/Plan,Assessment & Plan,Assessment and Plan Section,Section,
Impression,Assessment & Plan,Assessment Section,Section,
Visit Diagnoses,Assessment & Plan,Assessment Section,Section,
Vitals,Assessment & Plan,Vital Signs Section,Section,
ROS,Assessment & Plan,Review of Systems Section,Section,
ASSESSMENT,Assessment & Plan,Assessment Section,Section,
Subjective,Assessment & Plan,Subjective Section,Section,
Assessment,Assessment & Plan,Assessment Section,Section,
Assessments,Assessment & Plan,Assessment Section,Section,
